ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2024;P178;Vila do Vintém;Santana;Rua Afonso de Albuquerque Melo;3;3;6;-8.03802; -34.91035 
2024;P179;Praça Parque Amorim;Boa Vista;Pista Local da Av. Agamenon Magalhães, atrás da Parada de ônibus - Dentro da Praça;1;5;10;-8.05192; -34.89494 
2024;P180;Praça Souto Filho;Jaqueira;Rua Hoel Sette, próximo a entrada do Parcão;3;5;10;-8.03614; -34.90295 
2024;P181;Praça General Carlos Pinto (Tacaruna);Santo Amaro;Praça General Carlos Pinto, próximo ao shopping tacaruna;1;5;10;-8.03986; -34.87194 
2024;P182;Praça Oswaldo Cruz;Boa Vista;Rua João Fernandes Vieira, lado oposto ao Lote nº 190;1;5;10;-8.05476; -34.89126 
2024;P183;Estação Imbiribeira;Imbiribeira;R. Dr. Valdir Pessoa - Próximo a entrada do metrô;6;5;10;-8.09051; -34.90761 
2024;P184;Estação Mangueira;Afogados;Avenida Central, 2562 – Mangueira;5;5;10;-8.08591; -34.93683 
2024;P185;Estação Ipiranga;Afogados;Avenida Central, 2435 - Em frente a entrada da estação, próximo a Escola Estadual Vidal de Negreiros;5;5;10;-8.0773; -34.91345 
2024;P186;Estação Santa Luzia;Estância;Rua Rocha Pombo – Na praça em frente a entrada da Estação;5;5;10;-8.08426; -34.92992 
2022;P187;Praça Brasilit (Praça do Caxito - Várzea);Várzea;Rua Abatiá, S/N - Várzea;5;5;10;-8.04175; -34.95027 
2024;P188;Praça Bom Partor;Engenho do meio;Rua Bom Pastor, lado oposto ao lote nº 1409.;4;5;10;-8.04925; -34.93978 
2024;P189;Praça Ministro João Gonçalves de Souza;Engenho do meio;Rua Gáspar Pérez, 1011;4;5;10;-8.04795; -34.94344 
2024;P190;Praça do Sena;Areias;Rua Capitão Antônio França, lado oposto ao lote nº113;5;5;10;-8.09594; -34.93344 
2024;P191;Praça VDC;Areias;Rua Capitão Manuel de Aguiar;5;5;10;-8.09489; -34.93236 
2024;P192;Centro POP;Santo Antônio;Av. Martins de Barros, 395 - Na calçada, ao lado da entrada do Centro de Referência;1;5;10;-8.06401; -34.8765 
2024;P193;DER;Santo Amaro;Rua Leão Falcão, 337 - Na calçada do DER ;1;5;10;-8.04573; -34.87587 
2024;P194;Escola Sizenando Silveira;Santo Amaro;Rua do Hospício,999 - próximo ao Parque Treze de Maio.;1;5;10;-8.05454; -34.88186 
2024;P195;Mercado Público Santo Amaro;Santo Amaro;Av. Cruz Cabugá, 1933 - Ao lado da entrada principal do Mercado;1;5;10;-8.04682; -34.87655 
2024;P196;Cais do Sertão 01;Recife;Av. Alfredo Lisboa, armazém 10 – Recife;1;5;10;-8.06124; -34.87045 
2024;P197;Parque Treze de Maio;Boa Vista;Rua Princesa Isabel, 470 - Na entrada do Parque Treze de Maio.;1;5;10;-8.058; -34.88217 
